*******************************************************************************
Ephemeris / WWW_USER Sat Jun 23 08:34:32 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Jan-25 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Mar-25 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460335.541666667, A.D. 2024-Jan-26 01:00:00.0000, -2.492232245436033E+05,  3.132776689306331E+05,  3.291355315543075E+04, -7.867751273873916E-01, -5.900166042353030E-01, -2.762605617736644E-02,
2460335.583333333, A.D. 2024-Jan-26 02:00:00.0000, -2.520456421750830E+05,  3.111411795178872E+05,  3.281276422993954E+04, -7.812247158418550E-01, -5.969131424077484E-01, -2.836732787253174E-02,
2460335.625000000, A.D. 2024-Jan-26 03:00:00.0000, -2.548479711400859E+05,  3.089799580429380E+05,  3.270931176287458E+04, -7.756148397279721E-01, -6.037565660388510E-01, -2.910579280720979E-02,
2460335.666666667, A.D. 2024-Jan-26 04:00:00.0000, -2.576299982597485E+05,  3.067941965010108E+05,  3.260320595221176E+04, -7.699459958798325E-01, -6.105464409929793E-01, -2.984139901641086E-02,
2460335.708333333, A.D. 2024-Jan-26 05:00:00.0000, -2.603915121480921E+05,  3.045840884416257E+05,  3.249445718239299E+04, -7.642186835019951E-01, -6.172823379085313E-01, -3.057409487310819E-02,
2460335.750000000, A.D. 2024-Jan-26 06:00:00.0000, -2.631323032204666E+05,  3.023498289514143E+05,  3.238307602310722E+04, -7.584334041196760E-01, -6.239638321956844E-01, -3.130382908959983E-02,
2460335.791666667, A.D. 2024-Jan-26 07:00:00.0000, -2.658521637018152E+05,  3.000916146369466E+05,  3.226907322806631E+04, -7.525906615291964E-01, -6.305905040334743E-01, -3.203055071880315E-02,
2460335.833333333, A.D. 2024-Jan-26 08:00:00.0000, -2.685508876347619E+05,  2.978096436075697E+05,  3.215245973377660E+04, -7.466909617487046E-01, -6.371619383661995E-01, -3.275420915548707E-02,
2460335.875000000, A.D. 2024-Jan-26 09:00:00.0000, -2.712282708875220E+05,  2.955041154582599E+05,  3.203324665830623E+04, -7.407348129691842E-01, -6.436777248991632E-01, -3.347475413743575E-02,
2460335.916666667, A.D. 2024-Jan-26 10:00:00.0000, -2.738841111616363E+05,  2.931752312524918E+05,  3.191144530004826E+04, -7.347227255057635E-01, -6.501374580937467E-01, -3.419213574654995E-02,
2460335.958333333, A.D. 2024-Jan-26 11:00:00.0000, -2.765182079995309E+05,  2.908231935051265E+05,  3.178706713647985E+04, -7.286552117493382E-01, -6.565407371618294E-01, -3.490630440988066E-02,
2460336.000000000, A.D. 2024-Jan-26 12:00:00.0000, -2.791303627919031E+05,  2.884482061653206E+05,  3.166012382291813E+04, -7.225327861185209E-01, -6.628871660595526E-01, -3.561721090059963E-02,
2460336.041666667, A.D. 2024-Jan-26 13:00:00.0000, -2.817203787849359E+05,  2.860504745994592E+05,  3.153062719127236E+04, -7.163559650119297E-01, -6.691763534804340E-01, -3.632480633890295E-02,
2460336.083333333, A.D. 2024-Jan-26 14:00:00.0000, -2.842880610873401E+05,  2.836302055741145E+05,  3.139858924879320E+04, -7.101252667608318E-01, -6.754079128478430E-01, -3.702904219285078E-02,
2460336.125000000, A.D. 2024-Jan-26 15:00:00.0000, -2.868332166772273E+05,  2.811876072390333E+05,  3.126402217681898E+04, -7.038412115821525E-01, -6.815814623068345E-01, -3.772987027914140E-02,
2460336.166666667, A.D. 2024-Jan-26 16:00:00.0000, -2.893556544088140E+05,  2.787228891101540E+05,  3.112693832951933E+04, -6.975043215318630E-01, -6.876966247153542E-01, -3.842724276382056E-02,
2460336.208333333, A.D. 2024-Jan-26 17:00:00.0000, -2.918551850189595E+05,  2.762362620526574E+05,  3.098735023263621E+04, -6.911151204587607E-01, -6.937530276348188E-01, -3.912111216292677E-02,
2460336.250000000, A.D. 2024-Jan-26 18:00:00.0000, -2.943316211335366E+05,  2.737279382640517E+05,  3.084527058222305E+04, -6.846741339586542E-01, -6.997503033200783E-01, -3.981143134307133E-02,
2460336.291666667, A.D. 2024-Jan-26 19:00:00.0000, -2.967847772736400E+05,  2.711981312572956E+05,  3.070071224338167E+04, -6.781818893289662E-01, -7.056880887087671E-01, -4.049815352195446E-02,
2460336.333333333, A.D. 2024-Jan-26 20:00:00.0000, -2.992144698616301E+05,  2.686470558439599E+05,  3.055368824899750E+04, -6.716389155237666E-01, -7.115660254100517E-01, -4.118123226881815E-02,
2460336.375000000, A.D. 2024-Jan-26 21:00:00.0000, -3.016205172270172E+05,  2.660749281174314E+05,  3.040421179847329E+04, -6.650457431092464E-01, -7.173837596927821E-01, -4.186062150483427E-02,
2460336.416666667, A.D. 2024-Jan-26 22:00:00.0000, -3.040027396121856E+05,  2.634819654361602E+05,  3.025229625646168E+04, -6.584029042196490E-01, -7.231409424730568E-01, -4.253627550343042E-02,
2460336.458333333, A.D. 2024-Jan-26 23:00:00.0000, -3.063609591779598E+05,  2.608683864069527E+05,  3.009795515159644E+04, -6.517109325136662E-01, -7.288372293012051E-01, -4.320814889055169E-02,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000, -3.086950000090148E+05,  2.582344108683131E+05,  2.994120217522320E+04, -6.449703631313153E-01, -7.344722803482008E-01, -4.387619664486159E-02,
2460336.541666667, A.D. 2024-Jan-27 01:00:00.0000, -3.110046881191322E+05,  2.555802598738334E+05,  2.978205118012908E+04, -6.381817326513347E-01, -7.400457603917417E-01, -4.454037409789718E-02,
2460336.583333333, A.D. 2024-Jan-27 02:00:00.0000, -3.132898514563034E+05,  2.529061556756365E+05,  2.962051617927263E+04, -6.313455790490063E-01, -7.455573388012662E-01, -4.520063693412418E-02,
2460336.625000000, A.D. 2024-Jan-27 03:00:00.0000, -3.155503199076820E+05,  2.502123217078725E+05,  2.945661134451280E+04, -6.244624416545552E-01, -7.510066895227110E-01, -4.585694119095018E-02,
2460336.666666667, A.D. 2024-Jan-27 04:00:00.0000, -3.177859253043876E+05,  2.474989825702723E+05,  2.929035100533879E+04, -6.175328611120642E-01, -7.563934910628533E-01, -4.650924325868983E-02,
2460336.708333333, A.D. 2024-Jan-27 05:00:00.0000, -3.199965014261627E+05,  2.447663640117570E+05,  2.912174964759950E+04, -6.105573793389205E-01, -7.617174264730143E-01, -4.715749988045942E-02,
2460336.750000000, A.D. 2024-Jan-27 06:00:00.0000, -3.221818840058841E+05,  2.420146929141081E+05,  2.895082191223382E+04, -6.035365394858080E-01, -7.669781833322540E-01, -4.780166815201248E-02,
2460336.791666667, A.D. 2024-Jan-27 07:00:00.0000, -3.243419107339318E+05,  2.392441972756982E+05,  2.877758259400156E+04, -5.964708858972578E-01, -7.721754537300612E-01, -4.844170552151589E-02,
2460336.833333333, A.D. 2024-Jan-27 08:00:00.0000, -3.264764212624166E+05,  2.364551061952858E+05,  2.860204664021509E+04, -5.893609640727696E-01, -7.773089342485591E-01, -4.907756978926864E-02,
2460336.875000000, A.D. 2024-Jan-27 09:00:00.0000, -3.285852572092689E+05,  2.336476498558742E+05,  2.842422914947246E+04, -5.822073206285104E-01, -7.823783259442265E-01, -4.970921910736220E-02,
2460336.916666667, A.D. 2024-Jan-27 10:00:00.0000, -3.306682621621906E+05,  2.308220595086377E+05,  2.824414537039152E+04, -5.750105032596039E-01, -7.873833343291565E-01, -5.033661197928535E-02,
2460336.958333333, A.D. 2024-Jan-27 11:00:00.0000, -3.327252816824726E+05,  2.279785674569157E+05,  2.806181070034571E+04, -5.677710607030189E-01, -7.923236693518563E-01, -5.095970725947135E-02,
2460337.000000000, A.D. 2024-Jan-27 12:00:00.0000, -3.347561633086791E+05,  2.251174070402766E+05,  2.787724068420156E+04, -5.604895427010662E-01, -7.971990453776041E-01, -5.157846415279010E-02,
2460337.041666667, A.D. 2024-Jan-27 13:00:00.0000, -3.367607565602026E+05,  2.222388126186540E+05,  2.769045101305813E+04, -5.531664999655154E-01, -8.020091811683736E-01, -5.219284221398746E-02,
2460337.083333333, A.D. 2024-Jan-27 14:00:00.0000, -3.387389129406897E+05,  2.193430195565547E+05,  2.750145752298855E+04, -5.458024841423380E-01, -8.067537998623395E-01, -5.280280134706711E-02,
2460337.125000000, A.D. 2024-Jan-27 15:00:00.0000, -3.406904859413423E+05,  2.164302642073425E+05,  2.731027619378381E+04, -5.383980477770887E-01, -8.114326289529759E-01, -5.340830180462297E-02,
2460337.166666667, A.D. 2024-Jan-27 16:00:00.0000, -3.426153310440943E+05,  2.135007838975968E+05,  2.711692314769920E+04, -5.309537442809308E-01, -8.160454002677580E-01, -5.400930418711730E-02,
2460337.208333333, A.D. 2024-Jan-27 17:00:00.0000, -3.445133057246680E+05,  2.105548169115495E+05,  2.692141464820338E+04, -5.234701278973168E-01, -8.205918499464864E-01, -5.460576944210843E-02,
2460337.250000000, A.D. 2024-Jan-27 18:00:00.0000, -3.463842694555111E+05,  2.075926024756000E+05,  2.672376709873026E+04, -5.159477536693315E-01, -8.250717184192407E-01, -5.519765886342676E-02,
2460337.291666667, A.D. 2024-Jan-27 19:00:00.0000, -3.482280837086174E+05,  2.046143807429103E+05,  2.652399704143385E+04, -5.083871774077042E-01, -8.294847503839780E-01, -5.578493409030277E-02,
2460337.333333333, A.D. 2024-Jan-27 20:00:00.0000, -3.500446119582345E+05,  2.016203927780821E+05,  2.632212115594669E+04, -5.007889556595007E-01, -8.338306947837926E-01, -5.636755710644603E-02,
2460337.375000000, A.D. 2024-Jan-27 21:00:00.0000, -3.518337196834583E+05,  1.986108805419147E+05,  2.611815625814137E+04, -4.931536456774989E-01, -8.381093047838460E-01, -5.694549023907558E-02,
2460337.416666667, A.D. 2024-Jan-27 22:00:00.0000, -3.535952743707203E+05,  1.955860868762485E+05,  2.591211929889557E+04, -4.854818053902602E-01, -8.423203377479846E-01, -5.751869615790495E-02,
2460337.458333333, A.D. 2024-Jan-27 23:00:00.0000, -3.553291455161673E+05,  1.925462554888917E+05,  2.570402736286125E+04, -4.777739933728976E-01, -8.464635552150589E-01, -5.808713787408026E-02,
2460337.500000000, A.D. 2024-Jan-28 00:00:00.0000, -3.570352046279372E+05,  1.894916309386338E+05,  2.549389766723717E+04, -4.700307688185525E-01, -8.505387228749558E-01, -5.865077873907598E-02,
